"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 26, 2016",Maryland,Sabillasville,"6600 block of Eylers Valley Flint Road",1,0,N/A
"November 26, 2016",Ohio,"Grand Rapids","SR Route 65",1,0,N/A
"November 24, 2016","New York","Sandy Creek","Kehoe Road",1,0,N/A
"November 24, 2016",Florida,"Black Point",N/A,1,0,N/A
"November 23, 2016",Michigan,"Powell Township","North 1311 County Road KCI",1,0,N/A
"November 23, 2016","West Virginia",Troy,"Highway 47 West",1,0,N/A
"November 22, 2016",Indiana,Anderson,"1600 block of West 7th Street",1,0,N/A
"November 22, 2016",Virginia,Christiansburg,"700 block of Dabney Road",1,0,N/A
"November 22, 2016",Arkansas,"Searcy (county)",N/A,1,0,N/A
"November 20, 2016",Louisiana,"Many (Sabine)",N/A,1,0,N/A
"November 20, 2016",Virginia,"Dinwiddie (county)",I-85,1,0,N/A
"November 17, 2016","New Jersey","Trenton (Hamilton Township)","2000 block of Genesee Street",1,0,N/A
"November 16, 2016",Arkansas,Bentonville,"Punkin Hollow and Miller Church Roads",1,0,N/A
"November 15, 2016",Montana,"Park (county)","Daisy Dean Road",1,0,N/A
"November 13, 2016",Colorado,"Park (county)",N/A,1,0,N/A
"November 13, 2016",Georgia,"Jasper (county)","Highway 16",1,0,N/A
"November 13, 2016",Michigan,Ypsilanti,"212 Stevens Drive",1,0,N/A
"November 12, 2016","South Carolina",Union,"200 block of Wilson Road",1,0,N/A
"November 12, 2016",Colorado,"Grand Junction (Fruitvale)","3060 Sandpiper Avenue",1,0,N/A
"November 12, 2016",Montana,Libby,N/A,1,0,N/A
"November 12, 2016",Colorado,"La Salle","18000 block of County Road 43",1,0,N/A
"November 12, 2016","South Carolina",Summerton,"1500 block of Homeward Way",1,0,N/A
"November 11, 2016",Minnesota,Winona,"300 block of East 3rd Street",1,0,N/A
"November 11, 2016",Oklahoma,"Fort Towson",N/A,1,0,N/A
"November 10, 2016",California,Burbank,"2500 North Hollywood Way",1,0,N/A
"November 10, 2016",Oregon,Salem,N/A,1,0,N/A
"November 8, 2016",Virginia,Hampton,"500 block of Pennsylvania Ave",1,0,N/A
"November 8, 2016",Michigan,"Muskegon (county)","Johnston Street",1,0,N/A
"November 7, 2016",Pennsylvania,"New Kensington (Arnold)","1417 Orchard Ave",1,0,N/A
"November 7, 2016",Minnesota,"Little Falls (Belle Prairie Township)","Hawthorne and Jewel Road",1,0,N/A
"November 7, 2016",Florida,"Pinellas Park","5000 block of 75th Avenue",1,0,N/A
"November 7, 2016",California,Lancaster,"1700 block of East Avenue J",1,0,N/A
"November 7, 2016","North Carolina",Statesville,"100 block of Treeline Drive",1,0,N/A
"November 7, 2016",Minnesota,Cloquet,N/A,1,0,N/A
"November 6, 2016","New York",Elma,"Dorris Drive",1,0,N/A
"November 6, 2016",Georgia,Atlanta,"1800 block of Charleston Avenue",1,0,N/A
"November 5, 2016","North Dakota",Dickinson,"1700 block of Abraham Parkway",1,0,N/A
"November 4, 2016",Kansas,"Kansas City","7569 State Avenue",1,0,N/A
"November 4, 2016",Tennessee,Knoxville,"6500 block of Archer Road",1,0,N/A
"November 4, 2016",Missouri,Joplin,"4300 block of Connecticut Avenue",1,0,N/A
"November 3, 2016",Alabama,Eutaw,"Wilson Street",1,0,N/A
"October 31, 2016",California,Fresno,"Clinton and Winery Avenues",1,0,N/A
"October 30, 2016",Pennsylvania,Norristown,"600 block of George Street",1,0,N/A
"October 29, 2016",Indiana,Indianapolis,"6600 block of Little Leaf Place",1,0,N/A
"October 29, 2016",Ohio,Toledo,"123 Rockingham Street",1,0,N/A
"October 29, 2016",Ohio,Portsmouth,"603 Adams St",1,0,N/A
"October 29, 2016",Alabama,"Muscle Shoals","305 W Edison Ave",1,0,N/A
"October 27, 2016",Michigan,"Battle Creek","1st block of West Fountain Street",1,0,N/A
"October 27, 2016",Missouri,"Kansas City","18th and Topping",1,0,N/A
"October 24, 2016","South Carolina",Harleyville,"Cricket Drive",1,0,N/A
"October 22, 2016",Louisiana,Larose,"East Avenue C",1,0,N/A
"October 22, 2016",Georgia,"Toombs (county)","998 Johnson Corner Road",1,0,N/A
"October 21, 2016",Connecticut,Bristol,"240 Woodland Street",1,0,N/A
"October 20, 2016",California,Stockton,"8926 Ledgewood Avenue",1,0,N/A
"October 18, 2016",Mississippi,Pittsboro,"County Road 300",1,0,N/A
"October 17, 2016",Oregon,Albany,"2530 SE Pacific Boulevard",1,0,N/A
"October 16, 2016",Washington,Yacolt,"34900 block of NE Thompson Road",1,0,N/A
"October 16, 2016","North Dakota",Bismarck,"106th St SE",1,0,N/A
"October 15, 2016",Missouri,Forsyth,"665 Skyline Drive",1,0,N/A
"October 15, 2016",Missouri,Caulfield,"2810 Cloud 9 Drive",1,0,N/A
"October 15, 2016",Virginia,Sandston,"Treva Road",1,0,N/A
"October 13, 2016",Illinois,Waukegan,"1100 block of Greenfield Avenue",1,0,N/A
"October 13, 2016",Louisiana,"Baton Rouge","4138 East Brookstown Drive",1,0,N/A
"October 12, 2016","South Carolina","Myrtle Beach","Spivey Drive and King Avenue",1,0,N/A
"October 11, 2016",Georgia,Acworth,"4800 block of Ryan Road",1,0,N/A
"October 9, 2016","South Carolina",Aynor,"Garner Road",1,0,N/A
"October 9, 2016","South Dakota","Sioux Falls","North 1st Avenue",1,0,N/A
"October 7, 2016",Texas,Houston,"Long Point Road and Oak Tree Drive",1,0,N/A
"October 7, 2016",Georgia,"Richmond (county)","Done Roven Road",1,0,N/A
"October 5, 2016",Missouri,"Lees Summit","800 block of Northeast Magellan Ave",1,0,N/A
"October 4, 2016",Virginia,"Virginia Beach","1100 block of Mondrian Loop",1,0,N/A
"October 3, 2016","North Dakota",Sanborn,N/A,1,0,N/A
"October 2, 2016",Michigan,"Iron River",N/A,1,0,N/A
"October 1, 2016",Georgia,Mcdonough,"961 King Mill Road",1,0,N/A
"September 30, 2016",Pennsylvania,York,"200 block of Chestnut Street",1,0,N/A
"September 30, 2016",Georgia,Atlanta,"Roswell Street  SW",1,0,N/A
"September 30, 2016",Wisconsin,Milwaukee,"2100 block of North 15th Street",1,0,N/A
"September 29, 2016",Texas,"Fort Worth","3712 North Elm Street",1,0,N/A
"September 29, 2016",Pennsylvania,Altoona,"1600 block on 2nd Avenue",1,0,N/A
"September 28, 2016",Arizona,Avondale,"525 E Harrison Dr",1,0,N/A
"September 28, 2016",Kentucky,Danville,"Tuggle Road",1,0,N/A
"September 27, 2016",Iowa,"Cedar Rapids","800 block of 15th Street SE",1,0,N/A
"September 26, 2016",California,"El Dorado (county)","10500 block of Wentworth Springs Road",1,0,N/A
"September 26, 2016",Louisiana,Monroe,"McCall Street",1,0,N/A
"September 25, 2016",Georgia,Atlanta,"1073 Piedmont Ave",1,0,N/A
"September 24, 2016",Texas,Houston,"4439 Pease Street",1,0,N/A
"September 22, 2016",Maryland,Bladensburg,"4200 block of 58th Avenue",1,0,N/A
"September 19, 2016",Arkansas,Buckner,"1100 block of Lafayette County Road 41",1,0,N/A
"September 18, 2016",Florida,"Palm Beach Gardens (Riviera Beach)","1200 block of West 32nd Street",1,0,N/A
"September 18, 2016",Florida,Tampa,"6727 S. Lois Ave.",1,0,N/A
"September 18, 2016",Iowa,"Lake View","Highways 175 and 71",1,0,N/A
"September 17, 2016",Alaska,Juneau,"3000 block of Mountainwood Circle",1,0,N/A
"September 17, 2016","North Carolina",Edenton,"725 Martin Luther King Jr Avenue",1,0,N/A
"September 14, 2016",Texas,"Bexar (county)",N/A,1,0,N/A
"September 13, 2016",Texas,Azle,"400 block of Rider Lane",1,0,N/A
"September 12, 2016",Pennsylvania,Quakertown,"2100 block of Kumry Road",1,0,N/A
"September 12, 2016",Michigan,"Missaukee (county)","Blue Road and South Jeffs Road",1,0,N/A
"September 11, 2016",Louisiana,"Baton Rouge","Avenue B",1,0,N/A
"September 11, 2016",Kentucky,Louisville,"1600 block of Brashear Drive",1,0,N/A
"September 8, 2016",California,Rosamond,"2600 block of 25th Street West",1,0,N/A
"September 5, 2016",Texas,Rockdale,"900 block of CR 319",1,0,N/A
"September 5, 2016",Texas,"San Benito","200 block of Los Ranchitos",1,0,N/A
"September 5, 2016",Michigan,Kalamazoo,"1500 block of Clinton Avenue",2,0,N/A
"September 2, 2016",Florida,"Cocoa Beach","150 Minutemen Causeway",1,0,N/A
"September 1, 2016",Nevada,"Las Vegas","947 West Lake Mead Boulevard",1,0,N/A
"September 1, 2016","South Carolina",Columbia,"228 Meredith Square",1,2,N/A
"August 31, 2016",Georgia,Statesboro,"1000 block of Planters Lane",1,0,N/A
"August 30, 2016",Wisconsin,Chetek,"Leonard Street",1,0,N/A
"August 28, 2016",Kentucky,Louisville,"3015 Penway Ave",1,0,N/A
