"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 25, 2016",Montana,Billings,"308 6th Avenue North",0,2,N/A
"November 24, 2016",Pennsylvania,Philadelphia,"3500 N 9th Street",0,1,N/A
"November 22, 2016",Ohio,Columbus,"200 block of Dana Avenue",0,1,N/A
"November 21, 2016",Florida,Pensacola,"49th Avenue",0,1,N/A
"November 16, 2016",Mississippi,"Marion (county)",N/A,0,1,N/A
"November 15, 2016",Louisiana,"Baton Rouge","North Foster Drive",0,1,N/A
"November 15, 2016",Michigan,"Alcona (county)",N/A,0,1,N/A
"November 13, 2016",Indiana,Indianapolis,"1606 E. 44th Street",0,2,N/A
"November 10, 2016","North Carolina","Bessemer City","200 block of New Moon Lane",0,1,N/A
"November 10, 2016",Wisconsin,Antigo,N/A,0,1,N/A
"November 8, 2016",Alabama,"Birmingham (Hoover)","3267 Warringwood Drive",0,1,N/A
"November 6, 2016",Missouri,"Kansas City","1700 block of Concord Court",0,2,N/A
"November 6, 2016","North Dakota",Bismarck,"4000 Block of Trenton Drive",0,1,N/A
"November 5, 2016",Georgia,Jonesboro,"10000 block of Fitzgerald Road",0,1,N/A
"November 5, 2016",Louisiana,"New Orleans","1400 block of Independence Street.",0,1,N/A
"November 2, 2016",Oklahoma,"Oklahoma City (Del City)","2300 block of Mansfield Avenue",0,1,N/A
"October 31, 2016",Michigan,Clare,"503 Schoolcrest Avenue",0,2,N/A
"October 31, 2016",Oregon,"Sweet Home","1500 block of 47th Ave",0,2,N/A
"October 29, 2016","North Carolina",Lincolnton,"Loop Rd",0,1,N/A
"October 28, 2016",Alabama,Birmingham,"4700 block of Second Avenue South",0,1,N/A
"October 22, 2016",Ohio,"Cincinnati (Price Hill)","4700 block of Guerley Road",0,1,N/A
"October 17, 2016",Arizona,Tucson,"6700 block of West Copperwood Way",0,1,N/A
"October 17, 2016",Indiana,Elkhart,"311 East Carlton Avenue",0,2,N/A
"October 16, 2016",California,"Suisun City","1000 block of Canary Court",0,1,N/A
"October 16, 2016","North Dakota",Abercrombie,N/A,0,1,N/A
"October 16, 2016",Nevada,"Las Vegas","4200 block of Studio Street",0,1,N/A
"October 15, 2016",Connecticut,Enfield,"Ecology Drive",0,1,N/A
"October 13, 2016",Michigan,"Twin Lake","300 block of East Calumet",0,1,N/A
"October 8, 2016",California,Petaluma,"Reynolds Drive",0,1,N/A
"October 4, 2016",Virginia,"Campbell (county)","Marysville Road",0,1,N/A
"October 3, 2016",Texas,"Fort Worth","1416 Meadowlane Terrace",0,1,N/A
"October 3, 2016",Florida,Jacksonville,"7915 Baymeadows Circle East",0,1,N/A
"October 2, 2016",Pennsylvania,Indiana,"Airport Road",0,1,N/A
"September 29, 2016",Missouri,"Saint Joseph","3400 block of South 16th Street",0,1,N/A
"September 27, 2016",Indiana,"Etna Green","9900-block of West C.R. 575 North",0,1,N/A
"September 25, 2016",Mississippi,Mccomb,"Highway 98 East",0,1,N/A
"September 25, 2016",Louisiana,Harvey,"Destrehan Avenue and River Road",0,1,N/A
"September 25, 2016",Tennessee,"Nashville (Donelson)","209 Blue Hills Drive",0,1,N/A
"September 21, 2016",Wisconsin,Milwaukee,"2700 block of N. 20th Street",0,1,N/A
"September 13, 2016",Louisiana,"Gretna (Terrytown)","2148 Esplanade Place",0,1,N/A
"September 12, 2016",Texas,"Fort Worth","1200 block of Susan Avenue",0,1,N/A
"September 11, 2016",Georgia,Decatur,"3569 Larkspur Terrace",0,1,N/A
"September 10, 2016",Missouri,"Saint Louis","2800 block of Stoddard Street",0,1,N/A
"September 6, 2016",Texas,Terrell,"200 Bowser Cir",0,1,N/A
"September 6, 2016",Mississippi,Tupelo,"County Roads 1680 and 3571",0,2,N/A
"September 6, 2016",Tennessee,Louisville,"161 Manor Way",0,1,N/A
"September 5, 2016",Utah,Logan,"454 N 400 E",0,1,N/A
"September 2, 2016",Florida,Pensacola,"700 Truman Avenue",0,1,N/A
"September 1, 2016","South Carolina",Columbia,"228 Meredith Square",1,2,N/A
"August 31, 2016",Massachusetts,Abington,"159 Linwood Street",0,1,N/A
"August 31, 2016",Arizona,Phoenix,"4013 W Yucca St",0,1,N/A
"August 30, 2016",Tennessee,Nashville,"644 Glastonbury Rd",0,1,N/A
