"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 26, 2016",Pennsylvania,Pittsburgh,"2100 block of Park Hill Drive",1,2,N/A
"November 25, 2016",Montana,Billings,"308 6th Avenue North",0,2,N/A
"November 25, 2016","New Jersey","Monroe Township","Poplar Lane",1,2,N/A
"November 24, 2016",Pennsylvania,Philadelphia,"3500 N 9th Street",0,1,N/A
"November 23, 2016",Oklahoma,"Oklahoma City","2400 block of East Madison Street",0,1,N/A
"November 22, 2016",Ohio,Columbus,"200 block of Dana Avenue",0,1,N/A
"November 22, 2016",Illinois,Chicago,"3541 South California",0,3,N/A
"November 22, 2016",California,"Los Angeles","1400 block of East 51st Street",1,3,N/A
"November 21, 2016",Florida,Pensacola,"49th Avenue",0,1,N/A
"November 20, 2016","New Jersey",Millville,"1701 East Broad Street",0,1,N/A
"November 17, 2016",Tennessee,Dyersburg,"160 Longfellow",1,7,N/A
"November 17, 2016",Alabama,Bessemer,"400 block of 30th Street",0,2,N/A
"November 16, 2016",Florida,Tampa,"404 North Hernandez Court",0,1,N/A
"November 16, 2016",Mississippi,"Marion (county)",N/A,0,1,N/A
"November 16, 2016",Louisiana,Bastrop,"320 Ogden Avenue",0,2,N/A
"November 15, 2016",Louisiana,"Baton Rouge","North Foster Drive",0,1,N/A
"November 14, 2016",Texas,Houston,"10445 Greens Crossing Boulevard",1,2,N/A
"November 13, 2016",Indiana,Indianapolis,"1606 E. 44th Street",0,2,N/A
"November 13, 2016",Missouri,"Saint Louis","2500 block of North Grand Boulevard",0,1,N/A
"November 12, 2016",California,Sacramento,"8600 block of Ardith Drive",1,5,N/A
"November 10, 2016","North Carolina","Bessemer City","200 block of New Moon Lane",0,1,N/A
"November 10, 2016","North Carolina",Charlotte,"12th Street and College Street",0,1,N/A
"November 10, 2016",Wisconsin,Antigo,N/A,0,1,N/A
"November 8, 2016",Alabama,"Birmingham (Hoover)","3267 Warringwood Drive",0,1,N/A
"November 8, 2016",Alabama,"Phenix City","2504 Stadium Drive",0,3,N/A
"November 7, 2016",Ohio,Columbus,"Cleveland Ave and Blake Ave",0,1,N/A
"November 6, 2016",Missouri,"Kansas City","1700 block of Concord Court",0,2,N/A
"November 6, 2016","North Dakota",Bismarck,"4000 Block of Trenton Drive",0,1,N/A
"November 6, 2016",Connecticut,Hartford,"247 Branford Street",0,1,N/A
"November 5, 2016",Maryland,Baltimore,"2800 block of Keyworth Avenue",1,2,N/A
"November 5, 2016",Massachusetts,Brockton,"Bartlett and Fuller",0,1,N/A
"November 5, 2016",Texas,"Fort Worth","4332 East Berry Street",0,1,N/A
"November 5, 2016","North Carolina",Gastonia,"1657 Quail Woods Rd",0,3,N/A
"November 5, 2016",Louisiana,"New Orleans","1400 block of Independence Street.",0,1,N/A
"November 4, 2016",Pennsylvania,Chester,"600 block of Central Avenue",0,2,N/A
"November 2, 2016",Oklahoma,"Oklahoma City (Del City)","2300 block of Mansfield Avenue",0,1,N/A
"October 31, 2016",Michigan,Clare,"503 Schoolcrest Avenue",0,2,N/A
"October 31, 2016",Oregon,"Sweet Home","1500 block of 47th Ave",0,2,N/A
"October 31, 2016",Ohio,Cleveland,"1700 block Harvard Ave",0,2,N/A
"October 29, 2016","North Carolina",Lincolnton,"Loop Rd",0,1,N/A
"October 28, 2016","North Carolina","Southern Pines","714 West Michigan Avenue",1,1,N/A
"October 28, 2016",Alabama,Birmingham,"4700 block of Second Avenue South",0,1,N/A
"October 23, 2016",Ohio,Columbus,"560 Columbian Avenue",0,1,N/A
"October 23, 2016",Louisiana,"New Orleans","1400 block of Alabo Street",0,1,N/A
"October 22, 2016",Ohio,"Cincinnati (Price Hill)","4700 block of Guerley Road",0,1,N/A
"October 21, 2016",Pennsylvania,Pittsburgh,"2400 block of Bedford Avenue",0,1,N/A
"October 21, 2016",Pennsylvania,"Mc Kees Rocks (McKees Rocks)","700 block of Russellwood Ave",1,1,N/A
"October 20, 2016",Louisiana,"New Orleans","6101 Tullis Drive",1,2,N/A
"October 19, 2016","New York",Bronx,"1260 Franklin Avenue",0,1,N/A
"October 19, 2016",Florida,Miami,"1298 Northeast 128th Street",0,3,N/A
"October 19, 2016",California,"Santa Ana","500 block of South Pacific Avenue",0,1,N/A
"October 19, 2016",California,Fresno,"1400 block of East Duff Avenue",0,1,N/A
"October 19, 2016",California,Reedley,"1400 block of East Duff Avenue",0,1,N/A
"October 17, 2016",Indiana,Elkhart,"311 East Carlton Avenue",0,2,N/A
"October 17, 2016",California,Fresno,"4136 North Thesta Street",0,1,N/A
"October 16, 2016",California,"Suisun City","1000 block of Canary Court",0,1,N/A
"October 16, 2016",Nevada,"Las Vegas","4200 block of Studio Street",0,1,N/A
"October 15, 2016",Massachusetts,Boston,"10 Winslow Street",0,1,N/A
"October 15, 2016",Connecticut,Enfield,"Ecology Drive",0,1,N/A
"October 15, 2016",Virginia,Richmond,"Redd and Coulter Street",0,2,N/A
"October 14, 2016",Georgia,Albany,"300 block of Vintage Road",0,1,N/A
"October 13, 2016",Texas,Dallas,"2302 South Second Avenue",0,1,N/A
"October 13, 2016",Michigan,"Twin Lake","300 block of East Calumet",0,1,N/A
"October 12, 2016",Ohio,Cleveland,"5902 Storer Ave",0,3,N/A
"October 9, 2016",Massachusetts,Boston,"Annunciation Road",0,1,N/A
"October 8, 2016",California,Petaluma,"Reynolds Drive",0,1,N/A
"October 7, 2016",Indiana,"Fort Wayne","Chadwick Drive and Richfield Lane",0,1,N/A
"October 5, 2016",Louisiana,"New Orleans","1400 block of Monroe Street",0,1,N/A
"October 5, 2016",Alaska,Anchorage,"4300 block of San Roberto Avenue",0,1,N/A
"October 4, 2016",Missouri,"Kansas City","415 Denver Avenue",0,1,N/A
"October 4, 2016",Virginia,"Campbell (county)","Marysville Road",0,1,N/A
"October 4, 2016",Mississippi,Canton,"619 Martin Luther King Dr N",0,1,N/A
"October 4, 2016",Ohio,Cleveland,"7300 block of Dudley Avenue",0,2,N/A
"October 3, 2016",Texas,"Fort Worth","1416 Meadowlane Terrace",0,1,N/A
"October 3, 2016",Florida,Jacksonville,"7915 Baymeadows Circle East",0,1,N/A
"October 2, 2016",Pennsylvania,Indiana,"Airport Road",0,1,N/A
"October 2, 2016",Tennessee,Memphis,"Range Line Road",0,1,N/A
"October 1, 2016",Texas,Kerrville,"West Schreiner Street and Paschal Street",0,1,N/A
"September 29, 2016",Missouri,"Saint Joseph","3400 block of South 16th Street",0,1,N/A
"September 28, 2016","South Carolina",Townville,"105 Townville School Road",2,2,N/A
"September 27, 2016",Georgia,Savannah,"Fahm and Zubley Street",0,2,N/A
"September 27, 2016",Indiana,"Etna Green","9900-block of West C.R. 575 North",0,1,N/A
"September 27, 2016",Alabama,Montgomery,"Garden Street",0,1,N/A
"September 26, 2016",Texas,Humble,"21219 Grand Linden Court",0,4,N/A
"September 25, 2016",Mississippi,Mccomb,"Highway 98 East",0,1,N/A
"September 25, 2016",Louisiana,Harvey,"Destrehan Avenue and River Road",0,1,N/A
"September 25, 2016",Illinois,Joliet,"East Washington and Richards",1,2,N/A
"September 24, 2016",Maryland,Baltimore,"Greenmount Avenue and Preston Street",0,8,N/A
"September 24, 2016",Louisiana,"New Orleans","2100 block of Arts Street",0,3,N/A
"September 21, 2016",Wisconsin,Milwaukee,"2700 block of N. 20th Street",0,1,N/A
"September 17, 2016",Illinois,Aurora,"Route 56 and Interstate 88",0,2,N/A
"September 17, 2016","District of Columbia",Washington,"2600 block of Birney Place SE",2,7,N/A
"September 16, 2016",Texas,Dallas,"9700 block of West Ferris Branch Boulevard",0,2,N/A
"September 16, 2016",California,Richmond,"200 MacDonald Ave",0,2,N/A
"September 16, 2016",Alabama,Auburn,"533 Willis Turk Road",0,1,N/A
"September 15, 2016",Texas,Amarillo,"2714 Southwest 34th Avenue",0,1,N/A
"September 13, 2016",Louisiana,"Gretna (Terrytown)","2148 Esplanade Place",0,1,N/A
"September 12, 2016",Texas,"Fort Worth","1200 block of Susan Avenue",0,1,N/A
"September 11, 2016",Georgia,Decatur,"3569 Larkspur Terrace",0,1,N/A
"September 11, 2016",Wisconsin,"Milwaukee (Glendale)",I-43,0,1,N/A
"September 10, 2016",Missouri,"Saint Louis","2800 block of Stoddard Street",0,1,N/A
"September 10, 2016",Ohio,Dayton,"West Riverview Avenue and Catalpa Drive",0,1,N/A
"September 7, 2016",Virginia,Hampton,"Seldendale Drive",0,1,N/A
"September 7, 2016",Missouri,"Saint Louis","St. Louis Avenue and Goodfellow Boulevard",0,1,N/A
"September 6, 2016",Texas,Terrell,"200 Bowser Cir",0,1,N/A
"September 6, 2016",Mississippi,Tupelo,"County Roads 1680 and 3571",0,2,N/A
"September 6, 2016",Tennessee,Louisville,"161 Manor Way",0,1,N/A
"September 5, 2016",Oklahoma,Enid,"300 block of South Seventh Street",0,1,N/A
"September 5, 2016",Utah,Logan,"454 N 400 E",0,1,N/A
"September 3, 2016",Connecticut,Bridgeport,"Anson and Salem Street",0,3,N/A
"September 3, 2016",Maryland,Baltimore,"900 block of McAleer Court",0,3,N/A
"September 2, 2016",Florida,Pensacola,"700 Truman Avenue",0,1,N/A
"September 1, 2016",Illinois,Rockford,"3100 block of Prial Avenue",0,1,N/A
"September 1, 2016","South Carolina",Columbia,"228 Meredith Square",1,2,N/A
"September 1, 2016",Illinois,Chicago,"4100 block of West Potomac",0,3,N/A
"August 31, 2016",Texas,"San Antonio","2700 block of East Houston Street",0,2,N/A
"August 31, 2016",Massachusetts,Abington,"159 Linwood Street",0,1,N/A
"August 31, 2016",Ohio,Urbana,"Dewey Avenue",0,1,N/A
"August 31, 2016",Arizona,Phoenix,"4013 W Yucca St",0,1,N/A
"August 30, 2016","New York","Johnson City","7 North Broad Street",0,1,N/A
"August 30, 2016",Georgia,Atlanta,"400 Merritts Avenue NE",0,4,N/A
"August 30, 2016",Tennessee,Nashville,"644 Glastonbury Rd",0,1,N/A
"August 29, 2016",Virginia,"Newport News","3000 block of Williams St",0,1,N/A
"August 28, 2016",Georgia,Atlanta,"900 New Town Cir SE",0,3,N/A
"August 28, 2016",Nevada,"Las Vegas","4800 block of White Aspen Ave",0,1,N/A
"August 28, 2016",Florida,"Port Richey","7300 block of Westcott Dr",0,1,N/A
"August 27, 2016",Alabama,"Bessemer (Brighton)","3810 7th Ave",1,6,N/A
"August 27, 2016",Louisiana,"New Orleans","4500 block of Shalimar Dr",0,2,N/A
"August 26, 2016","South Carolina","North Augusta","600 block of Hutchinson Drive",0,1,N/A
"August 25, 2016",Ohio,Cleveland,"East 69th Street and Union Avenue",0,1,N/A
"August 25, 2016","New York",Buffalo,"South Division Street",0,1,N/A
"August 25, 2016",Kansas,Lawrence,"500 block of Wisconsin Street",0,1,N/A
"August 24, 2016",Texas,Beaumont,"2674 Magnolia Avenue",0,1,N/A
"August 22, 2016",Pennsylvania,Chester,"1200 block of W 9th",0,1,N/A
"August 21, 2016",Georgia,Brunswick,"3901 US 17",2,1,N/A
"August 21, 2016",Illinois,Chicago,"1600 block of North Major Avenue",0,2,N/A
"August 20, 2016","New Jersey",Burlington,"York and E. Federal Streets",1,1,N/A
"August 20, 2016","South Carolina",Columbia,"2400 block of McKinley Road",0,1,N/A
"August 20, 2016","North Carolina",Durham,"600 block of Reservoir Street",0,3,N/A
"August 18, 2016",Missouri,"Kansas City","2600 East Gregory Boulevard",1,3,N/A
"August 18, 2016",Illinois,Peoria,"1300 block of South Arago Street",0,2,N/A
"August 18, 2016",Illinois,Harvey,"100 block of East 146th Street",0,1,N/A
"August 16, 2016",California,Bakersfield,"300 block of Donna Avenue",0,3,N/A
"August 16, 2016",Michigan,Detroit,"3600 block of Fairview",0,1,N/A
"August 14, 2016",Nebraska,Omaha,"34th and Meredith",0,1,N/A
"August 14, 2016",Illinois,Chicago,"12000 block of South Perry Avenue",0,1,N/A
"August 14, 2016",Texas,Dallas,"Ramona Avenue and East Ledbetter Drive",0,1,N/A
"August 11, 2016",Pennsylvania,Philadelphia,"500 block of East Ashmead Street",0,4,N/A
"August 11, 2016",Kentucky,Louisville,"1200 block of Brashear Dr",0,1,N/A
"August 11, 2016",Illinois,Chicago,"6800 block of South Calumet",1,1,N/A
"August 10, 2016",California,"San Francisco","Whitney Young Circle and Hudson Avenue",0,1,N/A
"August 10, 2016",Tennessee,Chattanooga,"200 block of Water Street",0,1,N/A
"August 9, 2016",Pennsylvania,Philadelphia,"6300 block of Woodstock Street",0,1,N/A
"August 9, 2016","South Carolina",Columbia,"3619 Falling Springs Road",0,1,N/A
"August 8, 2016","North Carolina","Roanoke Rapids","1800 block of Roanoke Avenue",0,1,N/A
"August 8, 2016",Illinois,Chicago,"3900 block of West Polk Street",0,1,N/A
"August 8, 2016",Texas,Houston,"16800 block of Ella Boulevard",0,1,N/A
"August 8, 2016",Virginia,"Newport News","700 block of 35th Street",0,2,N/A
"August 7, 2016","South Carolina",Charleston,"Lyttleton Avenue",1,1,N/A
"August 6, 2016",Pennsylvania,York,"250 South Penn Street",0,1,N/A
"August 6, 2016",Tennessee,Memphis,"West Essex Avenue",0,1,N/A
"August 3, 2016",Arkansas,Lonoke,"100 block of Highridge Drive",0,1,N/A
"August 2, 2016","South Carolina",Coward,"4312 Circle Drive",1,1,N/A
"August 1, 2016","South Carolina",Greenville,"Hillside Circle",0,1,N/A
"August 1, 2016",Florida,Miami,"Southwest 173rd Street and 103rd Avenue",0,1,N/A
"August 1, 2016",Maryland,Randallstown,"1 block of Sulky Court",1,1,N/A
"July 31, 2016",Pennsylvania,Philadelphia,"1300 block of E. Rittenhouse Street",0,1,N/A
"July 30, 2016","District of Columbia",Washington,"2500 block of Pomeroy Road, SE",0,1,N/A
"July 30, 2016",Mississippi,"Bay Saint Louis","800 block of Louis Piernas Drive",2,1,N/A
"July 29, 2016",Michigan,Flint,"2310 Martin Luther King Avenue",0,1,N/A
"July 28, 2016",Pennsylvania,Philadelphia,"3100 block of North Rosewood Street",0,1,N/A
"July 28, 2016",Ohio,Cleveland,"3300 block of Seymour Avenue",0,1,N/A
"July 28, 2016",Missouri,"Kansas City","2500 block of Independence Avenue",1,1,N/A
"July 28, 2016",Texas,Alvin,"4000 block of East Texas 6",0,1,N/A
"July 27, 2016",Florida,Gainesville,"820 Northwest 4th Place",1,2,N/A
