"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 25, 2016",Texas,"Port Arthur","5200 block of Gulfway Drive",0,1,N/A
"November 24, 2016",Illinois,Chicago,"4900 block of West Wrightwood",0,2,N/A
"November 24, 2016",Illinois,Chicago,"1400 block of North Massasoit",0,1,N/A
"November 23, 2016",Mississippi,"Olive Branch","928 Cross Road",0,4,N/A
"November 23, 2016",Ohio,"Cincinnati (Walnut Hills)","900 block of Yale Avenue",0,1,N/A
"November 23, 2016",Florida,Bradenton,"6032 9th Street East",0,1,N/A
"November 22, 2016","New Jersey",Newark,"18th Ave and Alexander St",1,1,N/A
"November 22, 2016",Louisiana,Lafayette,"500 block of South Bienville Street",0,1,N/A
"November 22, 2016",Florida,Miami,"Northwest 17th Avenue and Northwest 31st Street",1,2,N/A
"November 22, 2016",Illinois,Chicago,"3541 South California",0,3,N/A
"November 22, 2016",California,"Los Angeles","1400 block of East 51st Street",1,3,N/A
"November 22, 2016",Florida,Miami,"11200 block of Southwest 220th Terrace",0,1,N/A
"November 22, 2016",Louisiana,"Baton Rouge","2200 block of 73rd Street",0,1,N/A
"November 22, 2016",Ohio,Columbus,"1480 West Broad Street",1,1,N/A
"November 21, 2016",Virginia,Triangle,"Olde Port Ln and Graham Park Rd",0,1,N/A
"November 21, 2016",California,"San Bernardino","6900 block of Tippecanoe Avenue",0,1,N/A
"November 21, 2016",Arkansas,"Little Rock","5103 Asher Ave.",0,3,N/A
"November 21, 2016",Illinois,Chicago,"1300 block of South Homan",1,1,N/A
"November 21, 2016",Texas,Baytown,"400 block of William Avenue",0,3,N/A
"November 21, 2016",Louisiana,"New Orleans","Mardi Gras Street and Nunez Street",0,1,N/A
"November 21, 2016",Illinois,Chicago,"1300 block of South Karlov",0,1,N/A
"November 21, 2016",Pennsylvania,Philadelphia,"4400 block of North Gratz Street",0,1,N/A
"November 20, 2016","New Jersey",Trenton,"100 Block of Oakland St",0,1,N/A
"November 20, 2016","New Jersey",Trenton,"Stuyvesant and Hoffman avenues",0,1,N/A
"November 20, 2016",Connecticut,Bridgeport,"Atlantic Avenue",0,1,N/A
"November 20, 2016",Arkansas,"Little Rock","11810 Pleasant Ridge Rd",0,1,N/A
"November 20, 2016",Ohio,Findlay,"1800 North Blanchard Street",0,1,N/A
"November 19, 2016",Virginia,Hampton,"2201 Todds Lane",0,1,N/A
"November 19, 2016",Illinois,"Pembroke Township","13500E block of 2000S Road",0,1,N/A
"November 19, 2016",California,"San Diego","3600 block of Altadena Avenue",0,1,N/A
"November 19, 2016",California,Farmersville,"500 block of East Front Street",0,2,N/A
"November 19, 2016",Florida,"Palm Beach (county)","West 36th Street and President Barack Obama Hwy",0,3,N/A
"November 19, 2016",Illinois,Chicago,"1400 block of North Latrobe",1,1,N/A
"November 19, 2016",Mississippi,Gulfport,"50 block of 52nd Street",0,1,N/A
