"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 25, 2016","District of Columbia",Washington,"1200 block of I Street SE",1,0,N/A
"November 25, 2016",Michigan,Detroit,"16300 block of Lyndon",1,0,N/A
"November 25, 2016",Virginia,Richmond,"Milton St. and Meadowbridge Rd.",1,0,N/A
"November 25, 2016",Tennessee,Antioch,"Oceanfront Circle",1,0,N/A
"November 25, 2016",Illinois,Chicago,"800 block of South Throop",1,0,N/A
"November 24, 2016",Kentucky,Lexington,"Henton Road",1,0,N/A
"November 24, 2016",California,Carmichael,"5101 Marconi Avenue",1,0,N/A
"November 24, 2016",Kansas,Wichita,"1902 East Pawnee",1,0,N/A
"November 23, 2016",California,Lynwood,"12600 block of Long Beach Boulevard",1,0,N/A
"November 23, 2016",California,Antioch,"Mark Twain Drive and Ebbetts Way",1,0,N/A
"November 23, 2016","South Carolina",Bluffton,N/A,1,0,N/A
"November 22, 2016",Indiana,Anderson,"1600 block of West 7th Street",1,0,N/A
"November 22, 2016",Florida,Miami,"Northwest 17th Avenue and Northwest 31st Street",1,2,N/A
"November 21, 2016",Tennessee,Knoxville,"6802 Cardindale Drive",1,0,N/A
"November 21, 2016","West Virginia",Charleston,"1555 Washington Street East",1,0,N/A
"November 21, 2016",Illinois,Chicago,"1300 block of South Homan",1,1,N/A
"November 20, 2016",Ohio,Cleveland,"3700 Block of East 54th St",1,0,N/A
"November 19, 2016",California,Watsonville,"348 Pioneer Road",1,0,N/A
"November 18, 2016",Illinois,"Chicago (Englewood)","5600 block of South Princeton",1,0,N/A
"November 18, 2016",Kentucky,Lexington,"3564 Honey Jay Court",1,0,N/A
"November 18, 2016","South Carolina",Clearwater,"1022 Fairview Road",1,1,N/A
"November 18, 2016","South Carolina",Greenwood,"Meadow Street",1,0,N/A
"November 17, 2016",Virginia,Danville,"100 block of Piney Forest Road",1,0,N/A
"November 17, 2016",Kentucky,Henderson,"1000 Powell Street",1,1,N/A
"November 14, 2016",Ohio,Cincinnati,"2800 block of Vine Street",1,0,N/A
"November 13, 2016",Alabama,Montgomery,"3000 block of Woodley Road",1,0,N/A
"November 13, 2016",Tennessee,Knoxville,"Jourolman Avenue",1,0,N/A
"November 13, 2016","North Carolina",Charlotte,"8000 block of Sherington Way",1,0,N/A
"November 11, 2016",Illinois,Waukegan,"400 block of McKinley Avenue",1,0,N/A
"November 11, 2016",Illinois,Rockford,"900 N Rockton Ave",1,1,N/A
"November 10, 2016",Kentucky,Louisville,"4900 block of South First Street",1,0,N/A
"November 8, 2016",Texas,Baytown,"5400 block of Louise Street",2,0,N/A
"November 8, 2016",Louisiana,Shreveport,"3000 block of Boss Avenue",1,0,N/A
"November 8, 2016",California,Sacramento,"5700 block of Kadinsky Way",1,0,N/A
"November 8, 2016",Virginia,Hampton,"500 block of Pennsylvania Ave",1,0,N/A
"November 8, 2016",Delaware,Claymont,"200 block of Dewey Court",1,0,N/A
"November 7, 2016",Pennsylvania,"New Kensington (Arnold)","1417 Orchard Ave",1,0,N/A
"November 7, 2016",Louisiana,Crowley,"1100 block of Smith Street",2,0,N/A
"November 7, 2016",Illinois,Chicago,"500 block of South Lockwood",1,0,N/A
