month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2018-03,Alabama,29286,0,10050,7695,469,418,0,19,19,0,1417,1174,4,0,0,0,0,0,32,25,1,1,0,0,50610
2018-03,Alaska,261,5,3080,3276,458,214,0,7,2,0,223,182,0,25,14,0,0,0,24,25,4,0,0,0,7800
2018-03,Arizona,7782,510,16991,10611,1984,923,0,8,8,1,1625,873,8,155,7,0,0,0,35,23,3,1,3,0,41551
2018-03,Arkansas,4007,727,8523,7017,551,515,51,14,14,1,1280,1747,2,0,0,0,0,0,21,14,4,2,2,0,24492
2018-03,California,50714,0,47425,32189,4802,0,0,0,0,0,675,405,18,0,0,0,0,0,0,0,0,0,0,0,136228
2018-03,Colorado,14922,0,24811,17741,2381,1640,0,0,0,0,0,0,0,298,46,0,0,0,0,0,0,0,0,0,61839
2018-03,Connecticut,7081,461,6906,2977,665,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18091
2018-03,Delaware,669,0,2385,2282,527,182,0,0,1,3,21,24,6,58,0,0,0,0,85,45,7,2,1,0,6298
2018-03,District of Columbia,284,0,93,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381
2018-03,Florida,27957,0,64230,30487,6732,2808,1,10,2,2,3694,1461,10,501,62,1,0,0,24,15,0,0,0,0,137997
2018-03,Georgia,31261,0,19849,10901,959,819,1,20,17,1,2222,1618,14,0,0,0,0,0,64,37,6,0,2,0,67791
2018-03,Guam,0,0,78,50,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
2018-03,Hawaii,1417,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1420
2018-03,Idaho,11108,14,5386,5788,611,286,0,4,11,1,434,617,0,45,4,0,0,0,12,19,2,0,0,0,24342
2018-03,Illinois,24775,196253,32326,17008,0,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271714
2018-03,Indiana,70713,0,28224,16982,2950,1166,65,8,12,4,442,578,35,26,1,0,0,0,82,60,23,1,3,1,121376
2018-03,Iowa,14986,2747,177,3585,73,3,1,0,1,0,2,68,0,31,8,0,0,0,0,15,0,0,0,0,21697
2018-03,Kansas,817,7,8400,6921,965,470,1,3,7,1,676,432,13,23,7,1,0,0,18,8,2,0,0,0,18772
2018-03,Kentucky,390708,0,14642,10303,818,727,5,26,34,1,2004,1884,2,12,8,0,0,0,31,33,6,0,2,1,421247
2018-03,Louisiana,4451,0,13831,8906,1336,747,0,13,10,0,1197,950,4,0,0,0,0,0,31,36,6,1,0,0,31519
2018-03,Maine,892,0,4640,3947,655,247,1,0,2,0,100,128,1,19,5,0,0,0,25,10,8,3,1,0,10684
2018-03,Mariana Islands,0,0,14,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2018-03,Maryland,3653,0,6360,7182,206,54,0,3,1,0,98,160,4,64,24,0,0,0,0,27,5,0,0,0,17841
2018-03,Massachusetts,10734,0,6636,3974,640,216,0,0,0,1,4,5,0,4,0,0,0,0,53,38,18,2,1,0,22326
2018-03,Michigan,27407,9,17166,12721,1305,332,0,1,5,1,11,307,5,97,10,0,0,0,72,125,10,3,2,0,59589
2018-03,Minnesota,51098,0,7583,11538,1040,373,0,1,2,2,155,395,4,21,8,0,0,0,25,20,2,0,1,0,72268
2018-03,Mississippi,3776,0,12054,7132,608,507,0,20,12,2,1770,1457,3,0,0,0,0,0,26,16,2,1,1,0,27387
2018-03,Missouri,1186,0,27559,21245,3069,1566,0,17,7,5,1574,1354,7,210,27,17,0,0,123,86,19,2,2,1,58076
2018-03,Montana,1845,0,3992,5369,420,332,6,4,5,1,508,855,2,24,4,4,0,0,11,15,0,0,5,0,13402
2018-03,Nebraska,6293,31,162,2411,50,9,0,0,2,0,10,55,2,11,3,0,0,0,0,9,0,0,0,0,9048
2018-03,Nevada,2825,0,6427,3625,531,348,0,0,0,0,375,190,1,0,0,0,0,0,0,0,0,0,0,0,14322
2018-03,New Hampshire,2301,0,7132,4245,370,9,19,0,0,0,0,11,1,66,12,2,0,0,0,16,0,0,0,0,14184
2018-03,New Jersey,0,0,5178,4758,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10195
2018-03,New Mexico,1467,0,8110,6046,837,560,1,5,4,1,554,695,0,45,0,0,0,0,22,9,1,0,0,0,18357
2018-03,New York,3089,1294,11578,17006,2533,305,0,0,3,3,85,49,10,31,59,3,4,3,473,457,40,12,13,0,37050
2018-03,North Carolina,37263,0,1808,16114,1705,284,0,11,19,4,2273,2360,23,0,0,0,7,8,9,51,6,1,4,0,61950
2018-03,North Dakota,775,0,2195,3201,224,128,9,2,2,0,94,140,4,0,0,0,0,0,8,18,3,0,0,0,6803
2018-03,Ohio,21984,434,36314,24477,3483,1830,0,16,17,2,1478,970,8,67,14,0,0,0,102,39,9,2,1,0,91247
2018-03,Oklahoma,8,0,15682,12018,2117,1229,2,25,13,0,2040,1969,20,0,0,0,0,0,93,77,16,2,5,1,35317
2018-03,Oregon,6514,14,19409,15464,0,11,0,0,0,0,0,0,0,143,55,6,0,0,0,0,0,0,0,0,41616
2018-03,Pennsylvania,34317,0,67756,19867,53,0,340,0,0,0,0,0,0,588,110,0,0,0,0,0,0,0,0,0,123031
2018-03,Puerto Rico,0,0,1718,182,131,30,0,0,1,0,6,2,0,0,0,0,0,0,0,1,0,1,0,0,2072
2018-03,Rhode Island,0,0,1544,1261,327,327,0,0,0,1,3,4,0,10,3,22,0,0,13,9,2,2,0,0,3528
2018-03,South Carolina,4113,177,13772,7673,1113,500,1,11,4,0,1153,774,2,80,13,2,0,0,19,16,4,0,0,0,29427
2018-03,South Dakota,1264,0,3523,4408,348,218,2,2,1,0,130,212,2,0,0,0,0,0,9,14,2,0,0,0,10135
2018-03,Tennessee,17501,0,32501,19418,1997,0,0,0,0,0,0,0,0,26,6,9,0,0,0,0,0,0,0,0,71458
2018-03,Texas,37551,0,60134,38853,5634,3340,2558,97,52,3,7587,5009,42,65,8,0,0,0,147,96,15,3,6,0,161200
2018-03,Utah,21478,30,5277,5296,601,0,0,4,4,1,332,389,1,153,54,29,0,0,0,0,0,0,0,0,33649
2018-03,Vermont,0,0,2818,2713,440,186,2,0,0,0,3,5,3,0,0,0,0,0,2,3,2,0,0,0,6177
2018-03,Virgin Islands,158,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
2018-03,Virginia,1120,7,30568,19180,4820,0,0,0,0,0,0,0,0,58,11,1,0,0,0,0,0,0,0,0,55765
2018-03,Washington,18818,84,22041,15774,3491,845,1,15,19,5,1449,1292,12,563,136,17,0,0,998,913,91,4,19,0,66587
2018-03,West Virginia,18251,0,9955,8325,701,604,6,18,22,0,1228,1469,9,16,0,3,0,0,56,34,3,0,1,0,40701
2018-03,Wisconsin,15625,0,19901,18290,1936,61,0,0,1,12,154,318,13,97,28,3,0,0,0,43,0,0,0,0,56482
2018-03,Wyoming,602,3,2502,2536,252,161,8,2,4,1,179,198,4,1,0,0,0,0,5,16,1,1,0,0,6476
2018-02,Alabama,24547,0,9220,7172,353,490,0,15,15,0,1778,1502,4,0,0,0,0,0,29,39,4,0,1,2,45171
2018-02,Alaska,214,0,2279,1948,268,166,0,2,1,0,259,191,0,17,19,0,0,0,17,5,6,0,0,0,5392
2018-02,Arizona,6513,435,14966,9058,1341,934,0,15,15,1,1863,961,9,119,6,0,0,0,20,18,5,0,2,0,36281
2018-02,Arkansas,4341,970,7671,6405,338,614,48,18,18,0,1666,2114,3,0,0,0,0,0,24,33,3,0,0,0,24266
2018-02,California,39165,0,38531,24768,3940,0,0,0,0,0,667,545,33,0,0,0,0,0,0,0,0,0,0,0,107649
2018-02,Colorado,9321,0,20604,13985,1701,1332,0,0,0,0,0,0,0,220,49,9,0,0,0,0,0,0,0,0,47221
2018-02,Connecticut,6597,371,5918,2269,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15617
2018-02,Delaware,672,0,1852,1579,187,107,0,2,2,0,31,30,2,90,0,0,0,0,60,35,2,0,0,0,4651
2018-02,District of Columbia,151,0,62,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217
2018-02,Florida,21971,0,57435,26441,4590,2539,8,15,6,0,4410,1677,7,346,74,0,0,0,27,13,2,0,0,0,119561
2018-02,Georgia,24308,0,17618,9410,616,900,0,24,21,2,2876,1940,19,0,0,0,0,0,67,31,3,1,2,0,57838
2018-02,Guam,0,0,94,33,12,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146
2018-02,Hawaii,1069,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1074
2018-02,Idaho,9910,7,4196,4300,396,269,0,4,12,0,498,700,2,23,13,0,0,0,13,16,0,0,0,0,20359
2018-02,Illinois,21425,124056,25626,12938,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185288
