"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 23, 2016","West Virginia",Troy,"Highway 47 West",1,0,N/A
"November 13, 2016",Colorado,"Park (county)",N/A,1,0,N/A
"November 13, 2016",Michigan,Ypsilanti,"212 Stevens Drive",1,0,N/A
"November 12, 2016",Colorado,"Grand Junction (Fruitvale)","3060 Sandpiper Avenue",1,0,N/A
"November 4, 2016",Kansas,"Kansas City","7569 State Avenue",1,0,N/A
"October 29, 2016",Ohio,Toledo,"123 Rockingham Street",1,0,N/A
"October 27, 2016",Missouri,"Kansas City","18th and Topping",1,0,N/A
"October 20, 2016",California,Stockton,"8926 Ledgewood Avenue",1,0,N/A
"October 13, 2016",Illinois,Waukegan,"1100 block of Greenfield Avenue",1,0,N/A
"October 1, 2016",Georgia,Mcdonough,"961 King Mill Road",1,0,N/A
"September 30, 2016",Wisconsin,Milwaukee,"2100 block of North 15th Street",1,0,N/A
"September 28, 2016",Arizona,Avondale,"525 E Harrison Dr",1,0,N/A
"September 18, 2016",Florida,"Palm Beach Gardens (Riviera Beach)","1200 block of West 32nd Street",1,0,N/A
"September 18, 2016",Florida,Tampa,"6727 S. Lois Ave.",1,0,N/A
"September 12, 2016",Pennsylvania,Quakertown,"2100 block of Kumry Road",1,0,N/A
"September 11, 2016",Kentucky,Louisville,"1600 block of Brashear Drive",1,0,N/A
"September 1, 2016","South Carolina",Columbia,"228 Meredith Square",1,2,N/A
"August 28, 2016",Kentucky,Louisville,"3015 Penway Ave",1,0,N/A
"August 25, 2016",Tennessee,Parrottsville,"Shenandoah Way",1,0,N/A
"August 18, 2016",Montana,Belgrade,"1005 Cardinal Dr",1,0,N/A
"August 15, 2016",Mississippi,Byhalia,"95 Rebecca Drive",1,0,N/A
"August 14, 2016",Iowa,Garner,"2194 Sioux Ave",1,0,N/A
"August 13, 2016",Virginia,Danville,"800 block of Edmonds Street",1,0,N/A
"August 8, 2016",Tennessee,Hendersonville,"118 Shady View Drive",1,0,N/A
"August 6, 2016",Idaho,Weiser,"Macomb Road",1,0,N/A
"August 2, 2016","South Carolina",Coward,"4312 Circle Drive",1,1,N/A
"August 2, 2016",Louisiana,Marrero,"2000 block of Fernando Court",1,0,N/A
"July 31, 2016",Alabama,"Birmingham (Homewood)","1301 Lakeshore Dr.",1,0,N/A
"July 26, 2016",Texas,Houston,"9700 block of Shady Tree Ln",1,0,N/A
"July 20, 2016",Georgia,"Jones (county)","113 Horseshoe Bend Court",1,0,N/A
"July 18, 2016","South Carolina",Gaston,"2400 block of Glenn Road",1,0,N/A
"July 16, 2016",Ohio,Cincinnati,"6200 block of Chandler Street",1,0,N/A
"July 15, 2016",Florida,"Port Orange","829 Hudson Lane",1,0,N/A
"July 14, 2016",Alabama,Leighton,"1500 block of Hwy 157",1,0,N/A
"July 14, 2016",Colorado,"Steamboat Springs",N/A,1,0,N/A
"July 11, 2016",Texas,"Marion (county)","Monica Drive",1,0,N/A
"July 8, 2016",Michigan,Alma,"Penrith Avenue",1,0,N/A
"July 3, 2016",Kentucky,Lowmansville,"July Drive",1,0,N/A
"July 2, 2016",California,Lemoore,"800 block of Dogwood Avenue",1,0,N/A
"July 1, 2016",Tennessee,Clarksville,"874 Samantha Lane",1,0,N/A
"June 25, 2016","New Jersey","East Orange","112 Norman Street",1,0,N/A
"June 23, 2016",Pennsylvania,Philadelphia,"1800 block of N 20th Street",1,0,N/A
"June 20, 2016",Colorado,"Conejos (county)",N/A,1,0,N/A
"June 17, 2016",Iowa,Elgin,"210 Main Street",1,0,N/A
"June 3, 2016",Colorado,Aurora,"1575 Galena Street",1,0,N/A
"May 26, 2016",Virginia,Roanoke,"2000 block of Carroll Avenue NW",1,0,N/A
"May 21, 2016",Louisiana,"La Place (Laplace)","19 Country Club Dr",1,0,N/A
"May 20, 2016",Alabama,Horton,"Welcome Home Church Road",1,0,N/A
"May 20, 2016",Illinois,Barry,"186 E 2700th St",1,0,N/A
"May 12, 2016",Ohio,Hilliard,"5100 block of Scioto Darby Road",1,0,N/A
"May 10, 2016",Michigan,Detroit,"19700 block of Oakfield Street",1,0,N/A
"May 1, 2016",Indiana,Indianapolis,"Gale and Vermont",1,0,N/A
"April 26, 2016",Georgia,Dallas,"Camp Circle and Dallas Acworth Highway",1,0,N/A
"April 26, 2016",Wisconsin,Milwaukee,"U.S. 41/Highway 175",1,0,N/A
"April 22, 2016",Louisiana,Natchitoches,"600 block of Sabine Alley",1,0,N/A
"April 21, 2016",Missouri,"Kansas City","2600 block of Lawn Avenue",1,0,N/A
"April 20, 2016",Indiana,Indianapolis,"5200 block of Alameda Road",1,0,N/A
"April 16, 2016",Pennsylvania,Philadelphia,"200 block of E. Mayfield Street",1,0,N/A
"March 20, 2016",Illinois,"Chicago (Englewood)","6700 block of S. Aberdeen St.",1,0,N/A
"March 19, 2016",Texas,Palestine,"300 block of Anderson County Road 1370",1,0,N/A
"March 11, 2016",Georgia,Norcross,"4900 block of Appaloosa Trail",1,0,N/A
"March 1, 2016",Florida,Sanford,"Highlawn Avenue",1,0,N/A
"February 29, 2016",Tennessee,Apison,"4724 Gates Lane",1,0,N/A
"February 26, 2016",Indiana,Sunman,"Van Wedding Road",1,0,N/A
"February 21, 2016",Indiana,Hartsville,"200 block of Clinton Street",1,0,N/A
"February 21, 2016",Florida,Fountain,"11601 Nonawood Road",1,0,N/A
"February 16, 2016",Texas,Lubbock,"2538 71st St",1,0,N/A
"February 6, 2016",Alabama,"Birmingham (Irondale)","2000 block of Monroe Drive",1,0,N/A
"January 30, 2016",Maryland,Baltimore,"400 block of N. Athol Avenue",1,0,N/A
"January 25, 2016",Tennessee,Crossville,"2009 N Main St",1,0,N/A
"January 23, 2016",Alaska,"Iliamna (Kokhanok)",N/A,1,0,N/A
"January 20, 2016",Michigan,Flint,"1300 block of Columbia Lane",1,0,N/A
"January 20, 2016",Louisiana,"New Orleans","5600 block of Red Maple Drive",1,0,N/A
