"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 22, 2016",Indiana,Anderson,"1600 block of West 7th Street",1,0,N/A
"November 22, 2016",Virginia,Christiansburg,"700 block of Dabney Road",1,0,N/A
"November 12, 2016",Colorado,"La Salle","18000 block of County Road 43",1,0,N/A
"November 11, 2016",Oklahoma,"Fort Towson",N/A,1,0,N/A
"November 8, 2016",Virginia,Hampton,"500 block of Pennsylvania Ave",1,0,N/A
"November 7, 2016",Pennsylvania,"New Kensington (Arnold)","1417 Orchard Ave",1,0,N/A
"November 6, 2016",Georgia,Atlanta,"1800 block of Charleston Avenue",1,0,N/A
"October 30, 2016",Pennsylvania,Norristown,"600 block of George Street",1,0,N/A
"October 22, 2016",Louisiana,Larose,"East Avenue C",1,0,N/A
"October 16, 2016",Washington,Yacolt,"34900 block of NE Thompson Road",1,0,N/A
"October 16, 2016","North Dakota",Bismarck,"106th St SE",1,0,N/A
"October 11, 2016",Georgia,Acworth,"4800 block of Ryan Road",1,0,N/A
"October 9, 2016","South Carolina",Aynor,"Garner Road",1,0,N/A
"October 7, 2016",Georgia,"Richmond (county)","Done Roven Road",1,0,N/A
"October 3, 2016","North Dakota",Sanborn,N/A,1,0,N/A
"September 29, 2016",Texas,"Fort Worth","3712 North Elm Street",1,0,N/A
"September 27, 2016",Iowa,"Cedar Rapids","800 block of 15th Street SE",1,0,N/A
"September 22, 2016",Maryland,Bladensburg,"4200 block of 58th Avenue",1,0,N/A
"September 17, 2016",Alaska,Juneau,"3000 block of Mountainwood Circle",1,0,N/A
"September 14, 2016",Texas,"Bexar (county)",N/A,1,0,N/A
"September 8, 2016",California,Rosamond,"2600 block of 25th Street West",1,0,N/A
"September 5, 2016",Texas,"San Benito","200 block of Los Ranchitos",1,0,N/A
"September 5, 2016",Michigan,Kalamazoo,"1500 block of Clinton Avenue",2,0,N/A
"August 28, 2016",Kentucky,Louisville,"3015 Penway Ave",1,0,N/A
"August 27, 2016",Texas,"San Benito","500 block of Doherty Street",1,0,N/A
"August 15, 2016",Florida,Naples,"1900 Tamiami Trail N",1,0,N/A
"August 12, 2016",Pennsylvania,Mountville,"17 West Main Street",1,0,N/A
"August 6, 2016","North Carolina",Shelby,"105 Lindsey Lee Ln",1,0,N/A
"August 5, 2016",Illinois,Chicago,"2700 block of West Evergreen Avenue",1,0,N/A
"August 2, 2016","South Carolina",Coward,"4312 Circle Drive",1,1,N/A
"August 2, 2016",Ohio,Columbus,"400 block of East Markison Avenue",1,0,N/A
"August 1, 2016",Oklahoma,Ardmore,"1200 block of L Street",1,0,N/A
"July 31, 2016",Alabama,"Birmingham (Homewood)","1301 Lakeshore Dr.",1,0,N/A
