"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 25, 2016",Alaska,Fairbanks,"433 Harold Bentley Ave",4,0,N/A
"November 23, 2016","West Virginia",Troy,"Highway 47 West",1,0,N/A
"November 22, 2016",Arkansas,"Little Rock","2000 block of Harrison Street",1,0,N/A
"November 19, 2016",Pennsylvania,"Wilkes Barre","351 McLean Street",3,0,N/A
"November 18, 2016",Georgia,Norcross,"700 block of Pebble Creek Drive",3,0,N/A
"November 17, 2016",Virginia,Stafford,"8 Wilderness Ct",4,0,N/A
"November 15, 2016",Oklahoma,"Creek (county)","22500 block of West 71st Street",2,0,N/A
"November 14, 2016",Texas,Houston,"10445 Greens Crossing Boulevard",1,2,N/A
"November 13, 2016",Colorado,"Park (county)",N/A,1,0,N/A
"November 13, 2016",Florida,Jacksonville,"5105 Cleveland Rd",3,2,N/A
"November 13, 2016",Michigan,Ypsilanti,"212 Stevens Drive",1,0,N/A
"November 12, 2016",Colorado,"Grand Junction (Fruitvale)","3060 Sandpiper Avenue",1,0,N/A
"November 10, 2016",Texas,Amarillo,"4100 block of Brook Hollow",4,0,N/A
"November 6, 2016",Texas,"Rio Grande City","Woods Brothers Road and Segunada Road",2,0,N/A
"November 5, 2016",Texas,Killeen,"4600 block of Golden Gate Drive",1,0,N/A
"November 5, 2016",Indiana,Gary,"500 block of West 39th Avenue",1,0,N/A
"November 5, 2016",Missouri,"Saint Louis","806 Cliff Cave Rd",3,0,N/A
"November 4, 2016",Kansas,"Kansas City","7569 State Avenue",1,0,N/A
"November 3, 2016","New Jersey",Orange,"234 Cleveland Street",2,1,N/A
"October 29, 2016",Ohio,Toledo,"123 Rockingham Street",1,0,N/A
"October 27, 2016",Missouri,"Kansas City","18th and Topping",1,0,N/A
"October 27, 2016","North Carolina",Shelby,"600 block of Whisenant Street",2,1,N/A
"October 25, 2016",Ohio,Columbus,"4600 block of Parkwick Drive",1,3,N/A
"October 22, 2016",Georgia,Jonesboro,"24 Libby Lane",2,0,N/A
"October 20, 2016",Florida,Ochopee,"54000 block of U.S. 41",3,0,N/A
"October 20, 2016",California,Stockton,"8926 Ledgewood Avenue",1,0,N/A
"October 19, 2016",Ohio,Cable,"3140 Chatfield Road",1,0,N/A
"October 16, 2016",Texas,"San Angelo","1,000 block of FM 2105",1,0,N/A
"October 16, 2016",Arizona,Tolleson,"S 91st Ave and W Broadway Rd",3,0,N/A
"October 13, 2016",Illinois,Waukegan,"1100 block of Greenfield Avenue",1,0,N/A
"October 13, 2016",California,Tulare,"22400 block of Road 130",3,0,N/A
"October 9, 2016",Arkansas,Eudora,"240 South Mabry Street",1,2,N/A
"October 9, 2016","North Carolina","Winston Salem (Winston-salem)","669 Harvey Teague Road",2,0,N/A
"October 9, 2016",Minnesota,Minneapolis,"26th Street East and 11th Avenue South",2,0,N/A
"October 5, 2016",Georgia,Savannah,"West 50th Street",1,0,N/A
"October 5, 2016",Oregon,Beaverton,"12015 Southwest Walden Lane",3,0,N/A
"October 1, 2016",Georgia,Mcdonough,"961 King Mill Road",1,0,N/A
"October 1, 2016","South Carolina","Conway (Bucksport)","Martin Luther Drive",4,0,N/A
"September 30, 2016",Minnesota,Minneapolis,"5400 block of 34th Avenue South",3,1,N/A
"September 30, 2016",Wisconsin,Milwaukee,"2100 block of North 15th Street",1,0,N/A
"September 28, 2016",Arizona,Avondale,"525 E Harrison Dr",1,0,N/A
"September 28, 2016","South Carolina",Townville,"105 Townville School Road",2,2,N/A
"September 25, 2016",California,Stockton,"1100 block of South Commerce Street",1,0,N/A
"September 25, 2016",Alabama,Birmingham,"3100 block of Avenue Q",1,0,N/A
"September 18, 2016",Florida,"Palm Beach Gardens (Riviera Beach)","1200 block of West 32nd Street",1,0,N/A
"September 18, 2016",Florida,Tampa,"6727 S. Lois Ave.",1,0,N/A
"September 15, 2016",Texas,Katy,"5400 block of Plantation Forest Drive",2,0,N/A
"September 12, 2016",Pennsylvania,Quakertown,"2100 block of Kumry Road",1,0,N/A
"September 11, 2016",Kentucky,Louisville,"1600 block of Brashear Drive",1,0,N/A
"September 10, 2016",Texas,Bastrop,"600 block of Oak Hill Cemetery Road",3,0,N/A
"September 1, 2016","South Carolina",Columbia,"228 Meredith Square",1,2,N/A
"August 28, 2016","New Mexico",Albuquerque,"2600 Americare Ct NW",3,0,N/A
"August 28, 2016",Florida,Miami,"NW 25th Ave and 102nd St",1,1,N/A
"August 25, 2016",Tennessee,Parrottsville,"Shenandoah Way",1,0,N/A
"August 24, 2016","New Jersey",Camden,"900 block of South 8th Street",1,0,N/A
"August 18, 2016",Montana,Belgrade,"1005 Cardinal Dr",1,0,N/A
"August 15, 2016",Mississippi,Byhalia,"95 Rebecca Drive",1,0,N/A
"August 14, 2016",Florida,"Palm Beach Gardens (Riviera Beach)","4250 Leo Lane",2,0,N/A
"August 14, 2016",Louisiana,"Prairieville (Galvez)","Oak Trace Road",3,0,N/A
"August 14, 2016",Iowa,Garner,"2194 Sioux Ave",1,0,N/A
"August 13, 2016",Missouri,"Kansas City","5700 block of College Avenue",2,1,N/A
"August 13, 2016",Virginia,Danville,"800 block of Edmonds Street",1,0,N/A
"August 8, 2016",Tennessee,Hendersonville,"118 Shady View Drive",1,0,N/A
"August 8, 2016","New Jersey",Burlington,"15 Sunflower Circle",3,0,N/A
"August 6, 2016",California,"Long Beach","9th and Locust",2,0,N/A
"August 6, 2016",Idaho,Weiser,"Macomb Road",1,0,N/A
"August 6, 2016",Pennsylvania,"Reading (Sinking Spring)","51 Winding Brook Drive",5,0,N/A
"August 3, 2016",Maryland,"Hyattsville (Landover)","6900 block of Forrest Terrace Drive",1,0,N/A
"August 2, 2016",Louisiana,Marrero,"2000 block of Fernando Court",1,0,N/A
"July 31, 2016",Louisiana,Thibodaux,"900 block of Burma Road",2,0,N/A
"July 31, 2016",Alabama,"Birmingham (Homewood)","1301 Lakeshore Dr.",1,0,N/A
"July 31, 2016",Texas,Houston,"300 block of De Haven St",1,0,N/A
"July 29, 2016",Texas,Conroe,"15596 N Fwy Service Road",2,0,N/A
"July 27, 2016",Florida,"Fort Lauderdale (Dania Beach)","W Dania Beach Blvd and SW 8th Ave",2,1,N/A
"July 27, 2016",Virginia,Fairfax,"Fairfax Hunt Road",2,0,N/A
"July 26, 2016",Utah,"Salt Lake City","561 N. Center Street",2,0,N/A
"July 26, 2016",Texas,Houston,"9700 block of Shady Tree Ln",1,0,N/A
"July 23, 2016",Texas,Bastrop,"202 Childers Drive",4,1,N/A
"July 20, 2016",Georgia,"Jones (county)","113 Horseshoe Bend Court",1,0,N/A
"July 18, 2016","South Carolina",Gaston,"2400 block of Glenn Road",1,0,N/A
"July 17, 2016",Louisiana,Sulphur,"Dahlia Lane",2,0,N/A
"July 17, 2016",Pennsylvania,Knoxville,"Zara Street",1,0,N/A
"July 17, 2016","South Carolina",Darlington,N/A,2,0,N/A
"July 16, 2016",Ohio,Cincinnati,"6200 block of Chandler Street",1,0,N/A
"July 15, 2016",Florida,"Port Orange","829 Hudson Lane",1,0,N/A
"July 14, 2016",Alabama,Leighton,"1500 block of Hwy 157",1,0,N/A
"July 14, 2016",Colorado,"Steamboat Springs",N/A,1,0,N/A
"July 14, 2016",Texas,Tahoka,"County Road Q",3,0,N/A
"July 11, 2016",Texas,"Marion (county)","Monica Drive",1,0,N/A
"July 8, 2016",Arkansas,Beebe,"300 block of Spring Street",1,0,N/A
