"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 26, 2016",Florida,Hudson,"7031 Oakley Avenue",0,1,N/A
"November 25, 2016",Montana,Billings,"308 6th Avenue North",0,2,N/A
"November 25, 2016",Arizona,Tucson,"5850 East Broadway Blvd",0,1,N/A
"November 25, 2016",California,"San Diego","4333 Home Avenue",0,2,N/A
"November 24, 2016",Pennsylvania,Philadelphia,"3500 N 9th Street",0,1,N/A
"November 24, 2016",Ohio,Springfield,"2106 Erie Avenue",0,1,N/A
"November 24, 2016","New York",Syracuse,"100 block of Walnut Street",1,1,N/A
"November 24, 2016","New York",Glenmont,"Smultz Road",0,1,N/A
"November 24, 2016",Tennessee,Greeneville,"315 Midway Circle",0,1,N/A
"November 24, 2016",Kentucky,Georgetown,"1001 Cherry Blossom Way",0,1,N/A
"November 24, 2016",Connecticut,"New London","2 Tinker Court",0,1,N/A
"November 23, 2016",Alabama,Tuscaloosa,"5501 Old Montgomery Highway",0,1,N/A
"November 23, 2016",Kentucky,Hardyville,"507 North Jackson Highway",0,1,N/A
"November 23, 2016",Delaware,Newark,"100 block of South Patrice Drive",0,2,N/A
"November 22, 2016",Mississippi,Ridgeland,"1018 Highland Colony Pkwy #300",0,1,N/A
"November 22, 2016",Ohio,Columbus,"200 block of Dana Avenue",0,1,N/A
"November 22, 2016",Arizona,Chandler,"Germann Road and Alma School Road",0,2,N/A
"November 21, 2016",Florida,Pensacola,"49th Avenue",0,1,N/A
"November 20, 2016",Oregon,Roseburg,"17000 block of North Bank Road",0,1,N/A
"November 20, 2016",Florida,"Vero Beach","962 14th Ln",0,1,N/A
"November 20, 2016",Indiana,Woodburn,"2400 block of River Road",0,1,N/A
"November 20, 2016",Alabama,Mobile,"3200 Pleasant Valley Rd",0,1,N/A
"November 20, 2016",Nebraska,Omaha,"1875 S 75th St",0,1,N/A
"November 20, 2016",Pennsylvania,Chicora,"800 block of Seven Hills Road",0,1,N/A
"November 19, 2016",Illinois,"Pembroke Township","13500E block of 2000S Road",0,1,N/A
"November 19, 2016","North Carolina",Raleigh,"1025 Blue Ridge Road",0,1,N/A
"November 18, 2016",Tennessee,Greeneville,"9300 block of Horton Highway",0,1,N/A
"November 17, 2016",Ohio,"Tipp City","480 Ginghamsburg Rd",0,1,N/A
"November 17, 2016",Idaho,Nampa,"16802 Nash Lane",0,1,N/A
"November 16, 2016",Illinois,Chicago,"8000 block of South Stony Island Avenue",0,1,N/A
"November 16, 2016",Kentucky,Madisonville,"Highway 41-A",0,1,N/A
"November 16, 2016",Florida,Loxahatchee,"11800 block of Seminole Pratt Whitney Road",0,1,N/A
"November 16, 2016",Mississippi,"Marion (county)",N/A,0,1,N/A
"November 16, 2016","North Carolina",Charlotte,"1000 block of State St",0,1,N/A
"November 15, 2016",Ohio,Cleveland,"West 43rd Street and Clark Avenue",0,1,N/A
"November 15, 2016",Louisiana,"Baton Rouge","North Foster Drive",0,1,N/A
"November 15, 2016",Texas,Austin,"3100 Block of Powell Lane",0,1,N/A
"November 15, 2016",Michigan,"Alcona (county)",N/A,0,1,N/A
"November 15, 2016",Maine,"Hollis Center","490 River Road",0,1,N/A
"November 14, 2016",Utah,Orem,N/A,0,2,N/A
"November 14, 2016",Minnesota,Laporte,"Osprey Drive",0,1,N/A
"November 14, 2016",Indiana,Shelbyville,N/A,0,1,N/A
"November 13, 2016",Indiana,Indianapolis,"1606 E. 44th Street",0,2,N/A
"November 13, 2016",Ohio,Woodville,N/A,0,1,N/A
"November 13, 2016",Vermont,Vershire,"Reed Rd",0,1,N/A
"November 13, 2016",Massachusetts,Framingham,"31 Dennison Avenue",0,1,N/A
"November 13, 2016",Oregon,Lebanon,"36400 block of Gore Drive",0,1,N/A
"November 13, 2016","North Carolina",Rockwell,"Jennifer's Lane",0,1,N/A
"November 13, 2016",Indiana,Vevay,"Ashland Cove Road",0,1,N/A
"November 13, 2016",Iowa,Afton,N/A,0,0,N/A
"November 13, 2016","New Jersey",Paterson,"Fair Street",0,1,N/A
"November 13, 2016",Mississippi,Meridian,"1600 block of 20th Street",0,1,N/A
"November 12, 2016",Ohio,Cleveland,"2900 block of East 97th Street",0,1,N/A
"November 12, 2016",Michigan,"Grand Rapids","Griggs Street",0,1,N/A
"November 12, 2016",Minnesota,"Douglas (county)",N/A,0,1,N/A
"November 12, 2016",Connecticut,Branford,"624 West Main Street",0,1,N/A
"November 12, 2016",Massachusetts,"Buzzards Bay","199 MacArthur Blvd",0,1,N/A
"November 11, 2016","New Jersey",Newark,"New Jersey Turnpike",0,1,N/A
"November 11, 2016",Wisconsin,"Oconto (county)",N/A,0,1,N/A
"November 11, 2016",Virginia,"Albemarle (county)",N/A,0,1,N/A
"November 11, 2016",Alabama,Decatur,"115 6th Ave NE",0,1,N/A
"November 11, 2016",Michigan,Auburn,"500 W Midland Rd",0,1,N/A
"November 11, 2016",Missouri,"Saint Louis","3622 Page Boulevard",0,1,N/A
"November 11, 2016",Utah,Mendon,"2500 South and 5900 West",0,1,N/A
"November 11, 2016","North Carolina",Fayetteville,"100 Block of Circle Court",0,1,N/A
"November 10, 2016",Kentucky,Lexington,"4000 block of Airport Road",0,1,N/A
"November 10, 2016","North Carolina",Charlotte,"600 block of Reeves Court",0,1,N/A
"November 10, 2016",Iowa,"Madison (county)","1500 block of North River Trail",0,1,N/A
"November 10, 2016","North Carolina","Bessemer City","200 block of New Moon Lane",0,1,N/A
"November 10, 2016",Wisconsin,Antigo,N/A,0,1,N/A
"November 9, 2016",Indiana,Bloomington,"Patterson Drive and West Third Street",0,1,N/A
"November 9, 2016","New York",Riverhead,"West Main Street",0,1,N/A
"November 9, 2016",Indiana,Lebanon,"1905 Indianapolis Avenue",0,1,N/A
"November 9, 2016",Alaska,"Thorne Bay",N/A,0,1,N/A
"November 8, 2016",Alabama,"Birmingham (Hoover)","3267 Warringwood Drive",0,1,N/A
"November 8, 2016",Nevada,"Las Vegas","2800 block of Taurus Court",0,1,N/A
"November 7, 2016",Tennessee,Greeneville,"95 Honey Hill Road",0,1,N/A
"November 7, 2016","North Carolina",Goldsboro,N/A,0,1,N/A
"November 6, 2016",Missouri,"Kansas City","1700 block of Concord Court",0,2,N/A
"November 6, 2016",Virginia,Richmond,"4300 block of Grove Avenue",0,1,N/A
"November 6, 2016",Michigan,"Wexford (county)",N/A,0,1,N/A
"November 6, 2016",Indiana,"Posey (county)","River Road",0,2,N/A
"November 6, 2016",Louisiana,Lafayette,"900 block of East Simcoe Street",0,1,N/A
"November 6, 2016","North Dakota",Bismarck,"4000 Block of Trenton Drive",0,1,N/A
"November 6, 2016",Alaska,Anchorage,"333 W 4th Avenue",0,1,N/A
"November 6, 2016",Kentucky,Madisonville,"Highway 41-A",0,1,N/A
"November 5, 2016",Georgia,Jonesboro,"10000 block of Fitzgerald Road",0,1,N/A
"November 5, 2016","New Hampshire",Manchester,"134 Amory Street",0,2,N/A
"November 5, 2016","North Carolina",Burlington,"5612 Mt. Vernon Church Road",0,1,N/A
"November 5, 2016",Minnesota,"Pelican Rapids (Cormorant)","130th Avenue",0,1,N/A
"November 5, 2016",Arizona,Phoenix,"55th Avenue and Clarendon",0,1,N/A
"November 5, 2016",Louisiana,"New Orleans","1400 block of Independence Street.",0,1,N/A
"November 4, 2016",California,Venice,"Ocean Front Walk and Rose Avenue",0,1,N/A
"November 4, 2016",California,Fresno,"East Church and South Gearhart Avenues",0,1,N/A
"November 4, 2016",Idaho,Pocatello,"West Eldredge Road",0,1,N/A
"November 4, 2016",Pennsylvania,Lancaster,"600 block of N. Franklin Street",0,1,N/A
"November 3, 2016",Mississippi,Hazlehurst,"Nelson Drive",0,1,N/A
"November 3, 2016","District of Columbia",Washington,"2500 block of Horse Stable Lane NW",0,1,N/A
"November 3, 2016",Virginia,Grottoes,"100 block of Strickley Road",0,1,N/A
"November 3, 2016",Maine,Springfield,N/A,0,1,N/A
"November 2, 2016","South Carolina",Anderson,"653 SC 28 B",0,1,N/A
"November 2, 2016",Arkansas,Farmington,"263 Countryside Drive",0,1,N/A
"November 2, 2016",Oklahoma,"Oklahoma City (Del City)","2300 block of Mansfield Avenue",0,1,N/A
"November 2, 2016","South Carolina",Aiken,"Barway Drive",0,1,N/A
"November 2, 2016",Idaho,"Idaho Falls (Ammon)","1800 block of Eagle Drive",0,1,N/A
"November 2, 2016",Maine,Phippsburg,"Route 209",0,1,N/A
"November 2, 2016",Alaska,"Thorne Bay",N/A,0,1,N/A
"November 1, 2016",Washington,Lakewood,"10600 Block of Douglas Drive SW",0,1,N/A
"November 1, 2016",Washington,Amboy,"12000 block of Northeast Grantham Road",0,1,N/A
"October 31, 2016",Pennsylvania,Lebanon,"302 E Weidman Street",0,1,N/A
"October 31, 2016",Michigan,Clare,"503 Schoolcrest Avenue",0,2,N/A
"October 31, 2016",Oregon,"Sweet Home","1500 block of 47th Ave",0,2,N/A
"October 31, 2016",Louisiana,"New Orleans","200 block of Newton Street",0,1,N/A
"October 30, 2016",Ohio,Fairborn,"400 block of Forest Street",0,1,N/A
"October 30, 2016",Montana,Roundup,N/A,0,1,N/A
"October 30, 2016",Georgia,Augusta,"3450 Wrightsboro Rd",0,1,N/A
"October 30, 2016",Louisiana,"Plain Dealing",N/A,0,1,N/A
"October 29, 2016","North Carolina",Lincolnton,"Loop Rd",0,1,N/A
"October 29, 2016",Indiana,"West Terre Haute","North 6th Street",0,1,N/A
"October 29, 2016",Tennessee,Elizabethton,"500 block of Laurel Road",0,1,N/A
"October 29, 2016",Washington,Tacoma,"East 36th and East J street",0,1,N/A
"October 28, 2016",Alabama,Birmingham,"4700 block of Second Avenue South",0,1,N/A
"October 28, 2016",Nevada,"Las Vegas","1810 S Rainbow Blvd",0,1,N/A
"October 28, 2016","Rhode Island",Providence,"Marconi St",0,1,N/A
"October 28, 2016","West Virginia",Hedgesville,"Durham Drive",0,1,N/A
"October 27, 2016",Wisconsin,Racine,"1200 block of Marquette Street",0,1,N/A
"October 27, 2016",Indiana,Leesburg,"EMS T13 Lane",0,1,N/A
"October 27, 2016","North Carolina",Asheville,"Charlie Arthur Lane",0,1,N/A
"October 27, 2016",Mississippi,Jackson,"Rosehaven Drive",0,1,N/A
"October 26, 2016",Ohio,Columbus,"Berkeley Road and East Deshler Avenue",0,1,N/A
"October 26, 2016",Ohio,Zanesville,"507 Imlay Avenue",0,1,N/A
"October 26, 2016",Alabama,"Cullman (county)","County Road 1603",0,1,N/A
"October 26, 2016",Florida,"Palm Coast","Chinook Court",0,1,N/A
"October 26, 2016",Florida,"Pinellas Park","7600 block of 62nd Way",0,1,N/A
"October 26, 2016","South Carolina",Burton,"120 Shanklin Road",0,1,N/A
"October 25, 2016",Michigan,"Pennfield Township","22000 block of East Avenue North",0,1,N/A
"October 25, 2016",Texas,"San Antonio","3805 Farm Road",0,1,N/A
"October 25, 2016","West Virginia",Huntington,"1531 6th Avenue",0,1,N/A
"October 25, 2016",California,"Santa Rosa","Linda Lane",0,1,N/A
"October 25, 2016",Tennessee,Greeneville,"620 Oregon Trail Road",0,1,N/A
"October 24, 2016",Georgia,Dawsonville,"795 Ga. 400",0,1,N/A
"October 24, 2016",Iowa,Davenport,"2100 block Division Street",0,1,N/A
"October 24, 2016",Florida,"Fort Pierce","5880 Okeechobee Road",0,1,N/A
"October 24, 2016","South Carolina","Beaufort (Ladys Island)","Hill Road",0,1,N/A
"October 24, 2016",Kansas,Topeka,"Interstate 70",0,1,N/A
"October 23, 2016",Colorado,Holyoke,"22736 cr 29",0,1,N/A
"October 23, 2016","North Dakota","Morton (county)",N/A,0,1,N/A
"October 23, 2016","New York",Bergen,"Buffalo Road",0,1,N/A
"October 23, 2016",Ohio,Greenville,"3600 block of U.S. 127",0,1,N/A
"October 22, 2016",Maine,"New Sharon","236 Starks Road",0,1,N/A
"October 22, 2016",Ohio,"Cincinnati (Price Hill)","4700 block of Guerley Road",0,1,N/A
"October 22, 2016",Massachusetts,Haverhill,"Arlington Street",0,1,N/A
"October 22, 2016",Ohio,Cleveland,"East 131st",0,2,N/A
"October 21, 2016",Michigan,"Big Rapids","21400 Perry Avenue",0,1,N/A
"October 21, 2016",Texas,"College Station","Central Park Lane",0,1,N/A
"October 21, 2016",Nevada,"Las Vegas","1700 block of Rock Springs Drive",0,2,N/A
"October 20, 2016","North Carolina",Randleman,"1021 High Point St",0,1,N/A
"October 20, 2016",Texas,"Kaufman (county)","Calvert Road",0,1,N/A
"October 20, 2016",Kentucky,Lexington,"975 Red Mile Rd",0,2,N/A
"October 20, 2016",Illinois,"Du Quoin","North Vine Street",0,2,N/A
"October 20, 2016",Texas,Killeen,"1300 block of East Avenue H",0,1,N/A
"October 17, 2016",California,Orange,"1900-B W Katella Avenue",0,1,N/A
"October 17, 2016",Indiana,"Terre Haute","25th and Lafayette",0,1,N/A
"October 17, 2016",Iowa,Denison,N/A,0,1,N/A
"October 17, 2016",Arizona,Kingman,"3800 block of East Devlin Avenue",0,1,N/A
"October 17, 2016",Arizona,Tucson,"6700 block of West Copperwood Way",0,1,N/A
"October 17, 2016",Indiana,Elkhart,"311 East Carlton Avenue",0,2,N/A
"October 16, 2016",California,"Suisun City","1000 block of Canary Court",0,1,N/A
"October 16, 2016",Ohio,"Dayton (Trotwood)","100 block of Crown Avenue",0,1,N/A
"October 16, 2016",Kansas,"Cowley (county)","22000 block of 12th Road",0,1,N/A
"October 16, 2016",Pennsylvania,"Jersey Mills (Pine Creek)","Sulgar Road",0,1,N/A
"October 16, 2016","North Dakota",Abercrombie,N/A,0,1,N/A
"October 16, 2016",Nevada,"Las Vegas","4200 block of Studio Street",0,1,N/A
"October 15, 2016",Connecticut,Enfield,"Ecology Drive",0,1,N/A
"October 15, 2016",Arkansas,"Drew (county)",N/A,0,1,N/A
"October 15, 2016",Illinois,Chicago,"4800 block of West Congress",0,1,N/A
"October 15, 2016",Minnesota,"Saint Cloud","Wilson Avenue",0,1,N/A
"October 15, 2016",Michigan,"Midland (county)",N/A,0,1,N/A
"October 15, 2016",Minnesota,"Saint Paul","Bellows and Baker Street W.",0,1,N/A
"October 14, 2016",Indiana,Franklin,"1700 block of 125W",0,1,N/A
"October 14, 2016",Illinois,Freeport,"1100 block of South State Ave",0,1,N/A
"October 14, 2016",Tennessee,Chattanooga,"Timber Knoll Drive",0,1,N/A
"October 13, 2016",Michigan,"Twin Lake","300 block of East Calumet",0,1,N/A
"October 12, 2016",Colorado,"Grand Junction","1600 North Avenue",0,1,N/A
"October 12, 2016",Kentucky,Louisville,"5600 block of Rustic Way",0,1,N/A
"October 12, 2016",Arizona,Peoria,"7522 W Deer Valley Rd",0,2,N/A
"October 12, 2016",Florida,Deltona,"Buccaneer Avenue",0,1,N/A
"October 12, 2016",Maryland,Baltimore,"1000 block of Bethune Avenue",0,1,N/A
"October 11, 2016","New York",Hilton,"629 Moul Road",0,1,N/A
"October 11, 2016",Virginia,Martinsville,"730 E Church St",0,3,N/A
"October 11, 2016",Illinois,Chicago,"2800 block of South Central Park",0,1,N/A
"October 9, 2016",Arizona,Phoenix,"16th and Washington",0,1,N/A
"October 9, 2016",Virginia,Lynchburg,"1000 Misty Mountain Rd.",0,1,N/A
"October 9, 2016","New York","Corona (Queens)","95th Avenue and 120 Street",0,1,N/A
"October 9, 2016",Iowa,Oskaloosa,"208 3rd Ave East",0,1,N/A
"October 8, 2016",Missouri,"Saint Louis","1253 Hampton Avenue",0,1,N/A
"October 8, 2016",California,Petaluma,"Reynolds Drive",0,1,N/A
"October 8, 2016",Texas,Denison,"400 block of Gun Club Road",0,1,N/A
"October 8, 2016",California,Ventura,"1300 block of East Santa Clara Street",0,1,N/A
"October 8, 2016",Georgia,Auburn,"Wages Road",0,1,N/A
"October 8, 2016",Texas,Odessa,"3700 block of Andrews Highway",0,1,N/A
"October 7, 2016",Arizona,"Prescott Valley","East Horizon Lane",0,1,N/A
"October 7, 2016",Missouri,Troy,"600 block of Wilhoit Court",0,1,N/A
"October 7, 2016",California,Norwalk,"10600 Firestone Boulevard",0,1,N/A
"October 6, 2016","West Virginia",Wheeling,"South Park Street",0,1,N/A
"October 5, 2016",Connecticut,Hartford,"Judson Street",0,1,N/A
"October 5, 2016",Louisiana,"West Monroe","Velma Drive",0,1,N/A
"October 5, 2016","North Dakota",Enderlin,N/A,0,1,N/A
"October 5, 2016",Oregon,"Douglas (county)",N/A,0,1,N/A
"October 4, 2016",Tennessee,Nashville,"1400 block of 16th Avenue North",0,1,N/A
"October 4, 2016",Iowa,"Storm Lake","1726 Lake Ave North",0,1,N/A
"October 4, 2016",Virginia,"Campbell (county)","Marysville Road",0,1,N/A
"October 4, 2016",Florida,Immokalee,"300 block of South Seventh Street",0,1,N/A
"October 3, 2016",Texas,"Fort Worth","1416 Meadowlane Terrace",0,1,N/A
"October 3, 2016",Minnesota,Willmar,"2101 15th Avenue NW",0,1,N/A
"October 3, 2016",Florida,Jacksonville,"7915 Baymeadows Circle East",0,1,N/A
"October 3, 2016",Louisiana,Lafayette,"Louisiana Avenue",0,1,N/A
"October 3, 2016",Michigan,"Goodells (Wales Township)","600 block of Mayer Road",0,1,N/A
"October 3, 2016",Michigan,"Goodells (Wales Township)",N/A,0,1,N/A
"October 2, 2016","New York","Staten Island","6 Cannon Blvd.",1,0,N/A
"October 2, 2016",Florida,"North Fort Myers","11831 Bayshore Rd",0,2,N/A
"October 2, 2016",Tennessee,Memphis,"3400 block of Dupre Street",0,1,N/A
"October 2, 2016",Ohio,Cleveland,"12700 block of Larchmere Avenue.",0,1,N/A
