"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 19, 2016",Illinois,"Pembroke Township","13500E block of 2000S Road",0,1,N/A
"November 15, 2016",Michigan,"Alcona (county)",N/A,0,1,N/A
"November 13, 2016",Oregon,Lebanon,"36400 block of Gore Drive",0,1,N/A
"November 13, 2016",Indiana,Vevay,"Ashland Cove Road",0,1,N/A
"November 13, 2016","New Jersey",Paterson,"Fair Street",0,1,N/A
"November 12, 2016",Michigan,"Grand Rapids","Griggs Street",0,1,N/A
"November 11, 2016",Wisconsin,"Oconto (county)",N/A,0,1,N/A
"November 6, 2016",Indiana,"Posey (county)","River Road",0,2,N/A
"November 5, 2016",Georgia,Jonesboro,"10000 block of Fitzgerald Road",0,1,N/A
"November 5, 2016",Arizona,Phoenix,"55th Avenue and Clarendon",0,1,N/A
"November 3, 2016",Maine,Springfield,N/A,0,1,N/A
"October 31, 2016",Pennsylvania,Lebanon,"302 E Weidman Street",0,1,N/A
"October 30, 2016",Louisiana,"Plain Dealing",N/A,0,1,N/A
"October 28, 2016","West Virginia",Hedgesville,"Durham Drive",0,1,N/A
"October 26, 2016",Ohio,Zanesville,"507 Imlay Avenue",0,1,N/A
"October 26, 2016",Florida,"Pinellas Park","7600 block of 62nd Way",0,1,N/A
"October 22, 2016",Maine,"New Sharon","236 Starks Road",0,1,N/A
"October 22, 2016",Ohio,Cleveland,"East 131st",0,2,N/A
"October 17, 2016",Indiana,Elkhart,"311 East Carlton Avenue",0,2,N/A
"October 16, 2016",Kansas,"Cowley (county)","22000 block of 12th Road",0,1,N/A
"October 16, 2016","North Dakota",Abercrombie,N/A,0,1,N/A
"October 14, 2016",Illinois,Freeport,"1100 block of South State Ave",0,1,N/A
"October 12, 2016",Kentucky,Louisville,"5600 block of Rustic Way",0,1,N/A
"October 12, 2016",Arizona,Peoria,"7522 W Deer Valley Rd",0,2,N/A
"October 11, 2016",Illinois,Chicago,"2800 block of South Central Park",0,1,N/A
"October 5, 2016","North Dakota",Enderlin,N/A,0,1,N/A
"October 4, 2016",Tennessee,Nashville,"1400 block of 16th Avenue North",0,1,N/A
"October 4, 2016",Florida,Immokalee,"300 block of South Seventh Street",0,1,N/A
"October 2, 2016",Tennessee,Memphis,"3400 block of Dupre Street",0,1,N/A
"October 2, 2016",Pennsylvania,Indiana,"Airport Road",0,1,N/A
"October 1, 2016",Ohio,Lima,"4251 Reservoir Road",0,1,N/A
"September 26, 2016",Kentucky,Lexington,"3500 block of Gunbow Court",0,1,N/A
"September 26, 2016",Georgia,Norcross,"1400 block of Wingfoot Way",0,1,N/A
"September 25, 2016",Tennessee,"Nashville (Donelson)","209 Blue Hills Drive",0,1,N/A
"September 24, 2016",Utah,Sandy,"9575 S State St",0,2,N/A
"September 20, 2016","North Carolina",Wilmington,"15th and Castle Streets",0,1,N/A
"September 16, 2016",Texas,"Harris (county)",N/A,0,1,N/A
"September 16, 2016",Georgia,"Morgan (county)","Hawkins Avenue",0,1,N/A
"September 15, 2016",Wisconsin,Milwaukee,"7878 N 60th Street",0,1,N/A
"September 15, 2016",California,Fresno,"2500 block of Fairmont",0,1,N/A
"September 8, 2016",Texas,Alpine,"704 West Sul Ross Avenue",1,2,N/A
"September 8, 2016",Tennessee,Nashville,"Wildgrove Court",0,1,N/A
"September 5, 2016",Kentucky,Lexington,"Augusta Drive",0,1,N/A
"August 30, 2016",Illinois,"Chicago (Englewood)","600 block of West 61st Place",0,1,N/A
